"id","travel_date","province_thai","province_eng","region_thai","region_eng","no_tourist_all","no_tourist_foreign","no_tourist_stay","no_tourist_thai","ratio_tourist_stay","revenue_all","revenue_foreign","revenue_thai"
24623,"2019-01-01",ลำพูน,Lamphun ,ภาคเหนือ,north,117882.0,6577.0,27710.0,111305.0,65.76,185470000,12830000,172640000
24624,"2019-01-01",แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,146468.0,33424.0,137937.0,113044.0,77.92,672080000,250990000,421090000
24625,"2019-01-01",อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,125154.0,979.0,65695.0,124175.0,62.56,253400000,2210000.0,251190000
24626,"2019-01-01",อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,76665.0,291.0,30736.0,76374.0,51.56,123830000,990000.0,122840000
24627,"2019-01-01",สุโขทัย,Sukhothai ,ภาคเหนือ,north,150621.0,43029.0,89231.0,107592.0,73.09,348290000,142080000,206210000
24628,"2019-01-01",น่าน,Nan ,ภาคเหนือ,north,113649.0,2204.0,95902.0,111445.0,80.74,334100000,10780000,323320000
24629,"2019-01-01",กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,62141.0,522.0,23197.0,61619.0,55.76,93880000,1160000.0,92720000
24630,"2019-01-01",ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,639369.0,7972.0,244958.0,631397.0,67.31,1906050000,24440000,1881610000
24631,"2019-01-01",ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,136109.0,718.0,72160.0,135391.0,65.59,179160000,1800000.0,177360000
24632,"2019-01-01",นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,104305.0,7434.0,46232.0,96871.0,65.42,220710000,10010000,210700000
24633,"2019-01-01",นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,1012772.0,20376.0,529946.0,992396.0,77.67,2504220000,96520000,2407700000
24634,"2019-01-01",บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,185563.0,5487.0,113655.0,180076.0,71.26,364160000,8250000.0,355910000
24635,"2019-01-01",มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,72804.0,1848.0,45480.0,70956.0,61.85,115940000,2390000.0,113550000
24636,"2019-01-01",มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,218485.0,14565.0,70953.0,203920.0,69.66,386620000,32470000,354150000
24637,"2019-01-01",ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,84761.0,833.0,43424.0,83928.0,60.27,116210000,1780000.0,114430000
24638,"2019-01-01",เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,212225.0,2774.0,130458.0,209451.0,78.17,473630000,10110000,463520000
24639,"2019-01-01",ศรีสะเกษ,Sisaket ,ภาคใต้,south,185521.0,2429.0,44457.0,183092.0,68.63,285020000,6180000.0,278840000
24640,"2019-01-01",สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,134324.0,3605.0,100932.0,130719.0,61.37,346830000,11750000,335080000
24641,"2019-01-01",หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,259265.0,71173.0,118898.0,188092.0,70.92,546790000,99870000,446920000
24642,"2019-01-01",บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,65978.0,278.0,37974.0,65700.0,72.95,137810000,670000.0,137140000
24643,"2019-01-01",อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,282871.0,17081.0,189778.0,265790.0,76.79,777600000,81730000,695870000
24644,"2019-01-01",อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,316431.0,18674.0,147377.0,297757.0,77.37,1001550000,88070000,913480000
24645,"2019-01-01",สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,116238.0,394.0,66034.0,115844.0,64.69,240630000,1220000.0,239410000
24646,"2019-01-01",ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,59234.0,1871.0,17237.0,57363.0,63.63,76950000,4060000.0,72890000
24647,"2019-01-01",อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,21790.0,818.0,8551.0,20972.0,65.15,34510000,1870000.0,32640000
24648,"2019-01-01",หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,36343.0,161.0,14081.0,36182.0,65.05,38490000,240000.0,38250000
24649,"2020-01-01",กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,6046765.0,2473725.0,3213765.0,3573040.0,89.36,88202890000,57065240000,31137650000
24650,"2020-01-01",ลพบุรี,Lopburi ,ภาคกลาง,central,242413.0,2133.0,39765.0,240280.0,51.53,413570000,4990000.0,408580000
24651,"2020-01-01",พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,741902.0,185761.0,107777.0,556141.0,66.07,1462740000,403500000,1059240000
24652,"2020-01-01",สระบุรี,Saraburi ,ภาคกลาง,central,195397.0,5656.0,81682.0,189741.0,59.71,321860000,11580000,310280000
24653,"2020-01-01",ชัยนาท,Chainat ,ภาคกลาง,central,72893.0,513.0,23128.0,72380.0,73.47,91930000,840000.0,91090000
24654,"2020-01-01",นครปฐม,Nakhon Pathom ,ภาคกลาง,central,272110.0,10879.0,109852.0,261231.0,64.63,380900000,15050000,365850000
24655,"2020-01-01",สิงห์บุรี,Sing Buri ,ภาคกลาง,central,43540.0,214.0,13873.0,43326.0,57.93,61740000,340000.0,61400000
24656,"2020-01-01",อ่างทอง,Ang Thong ,ภาคกลาง,central,97978.0,4698.0,16084.0,93280.0,63.97,125870000,5280000.0,120590000
24657,"2020-01-01",นนทบุรี,Nonthaburi ,ภาคกลาง,central,308136.0,27966.0,83049.0,280170.0,71.1,469040000,83500000,385540000
24658,"2020-01-01",ปทุมธานี,Pathum Thani ,ภาคกลาง,central,238331.0,63927.0,50824.0,174404.0,58.63,312310000,104250000,208060000
24659,"2020-01-01",สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,399020.0,196786.0,86797.0,202234.0,69.55,745260000,441730000,303530000
24660,"2020-01-01",สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,101472.0,421.0,55591.0,101051.0,58.37,167130000,720000.0,166410000
24661,"2020-01-01",ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,268543.0,3642.0,36156.0,264901.0,55.42,296470000,4740000.0,291730000
24662,"2020-01-01",ราชบุรี,Ratchaburi ,ภาคกลาง,central,239500.0,4352.0,84723.0,235148.0,72.78,449360000,9970000.0,439390000
24663,"2020-01-01",กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,770371.0,44828.0,329862.0,725543.0,81.92,2754660000,249450000,2505210000
24664,"2020-01-01",สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,190391.0,3640.0,59982.0,186751.0,69.52,328850000,6950000.0,321900000
24665,"2020-01-01",สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,223794.0,1562.0,86973.0,222232.0,85.81,469100000,2430000.0,466670000
24666,"2020-01-01",เพชรบุรี,Phetchaburi ,ภาคกลาง,central,654478.0,64719.0,326049.0,589759.0,72.6,2234230000,529440000,1704790000
24667,"2020-01-01",ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,576227.0,115540.0,341491.0,460687.0,70.35,3509890000,1133830000,2376060000
24668,"2020-01-01",ชลบุรี,Chonburi ,ภาคตะวันออก,east,1585782.0,969800.0,1329662.0,615982.0,83.21,27064450000,23136740000,3927710000
24669,"2020-01-01",จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,300501.0,7112.0,126987.0,293389.0,76.36,1000640000,49900000,950740000
24670,"2020-01-01",ตราด,Trat ,ภาคตะวันออก,east,198359.0,72086.0,184137.0,126273.0,72.26,1901570000,1075390000,826180000
24671,"2020-01-01",นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,265162.0,2219.0,125509.0,262943.0,59.86,809670000,5780000.0,803890000
24672,"2020-01-01",ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,168750.0,10936.0,87087.0,157814.0,67.12,490400000,34020000,456380000
24673,"2020-01-01",ระยอง,Rayong ,ภาคตะวันออก,east,617597.0,64077.0,359238.0,553520.0,65.73,2366440000,420330000,1946110000
24674,"2020-01-01",สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,193291.0,30846.0,68404.0,162445.0,49.25,580400000,90450000,489950000
24675,"2020-01-01",ภูเก็ต,Phuket ,ภาคใต้,south,1722034.0,1405884.0,1524977.0,316150.0,87.71,62468600000,58018400000,4450200000
24676,"2020-01-01",พัทลุง,Phatthalung ,ภาคใต้,south,121873.0,855.0,65735.0,121018.0,67.53,183610000,2680000.0,180930000
24677,"2020-01-01",ตรัง,Trang ,ภาคใต้,south,165681.0,23052.0,125148.0,142629.0,67.6,1236730000,216930000,1019800000
24678,"2020-01-01",ระนอง,Ranong ,ภาคใต้,south,106008.0,6792.0,81465.0,99216.0,52.8,369340000,46080000,323260000
24679,"2020-01-01",ชุมพร,Chumphon ,ภาคใต้,south,115989.0,10297.0,90484.0,105692.0,58.98,509710000,50000000,459710000
24680,"2020-01-01",ปัตตานี,Pattani ,ภาคใต้,south,20886.0,144.0,16725.0,20742.0,45.72,77570000,640000.0,76930000
24681,"2020-01-01",ยะลา,Yala ,ภาคใต้,south,49911.0,41038.0,46228.0,8873.0,48.36,227800000,192560000,35240000
24682,"2020-01-01",นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,353316.0,9987.0,222969.0,343329.0,56.04,1182120000,33660000,1148460000
24683,"2020-01-01",นราธิวาส,Narathiwat ,ภาคใต้,south,61030.0,38562.0,50224.0,22468.0,60.39,229420000,168030000,61390000
24684,"2020-01-01",กระบี่,Krabi ,ภาคใต้,south,567726.0,386054.0,338142.0,181672.0,79.51,12505300000,9487550000,3017750000
24685,"2020-01-01",สงขลา,Songkhla ,ภาคใต้,south,827668.0,284450.0,455523.0,543218.0,82.05,7356250000,3459580000,3896670000
24686,"2020-01-01",พังงา,Phang Nga ,ภาคใต้,south,499591.0,361467.0,110362.0,138124.0,85.24,6156910000,5295090000,861820000
24687,"2020-01-01",สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,491605.0,334665.0,444734.0,156940.0,69.1,9852870000,8680810000,1172060000
24688,"2020-01-01",สตูล,Satun ,ภาคใต้,south,194605.0,18969.0,79526.0,175636.0,72.77,1659280000,95350000,1563930000
24689,"2020-01-01",กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,71963.0,2111.0,43616.0,69852.0,53.72,150350000,6720000.0,143630000
24690,"2020-01-01",เชียงราย,Chiang Rai ,ภาคเหนือ,north,436005.0,62191.0,392547.0,373814.0,78.3,3077950000,530700000,2547250000
24691,"2020-01-01",เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,1047546.0,309958.0,822663.0,737588.0,85.32,11087860000,4137180000,6950680000
24692,"2020-01-01",พิจิตร,Phichit ,ภาคเหนือ,north,61863.0,570.0,45232.0,61293.0,54.08,133460000,920000.0,132540000
24693,"2020-01-01",นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,189972.0,6290.0,116065.0,183682.0,61.79,350350000,8380000.0,341970000
24694,"2020-01-01",ตาก,Tak ,ภาคเหนือ,north,238235.0,5655.0,179957.0,232580.0,75.73,722110000,20290000,701820000
24695,"2020-01-01",พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,376176.0,22485.0,192912.0,353691.0,69.01,971570000,72960000,898610000
24696,"2020-01-01",พะเยา,Phayao ,ภาคเหนือ,north,80242.0,3463.0,31544.0,76779.0,66.44,148700000,4420000.0,144280000
24697,"2020-01-01",เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,250520.0,2103.0,199081.0,248417.0,72.11,872240000,5650000.0,866590000
24698,"2020-01-01",แพร่,Phrae ,ภาคเหนือ,north,86488.0,9294.0,35523.0,77194.0,69.13,186090000,33320000,152770000
24699,"2020-01-01",ลำปาง,Lampang ,ภาคเหนือ,north,112377.0,10073.0,64268.0,102304.0,72.29,327620000,50740000,276880000
24700,"2020-01-01",ลำพูน,Lamphun ,ภาคเหนือ,north,110487.0,6172.0,23987.0,104315.0,60.46,175830000,11850000,163980000
24701,"2020-01-01",แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,126975.0,28588.0,117691.0,98387.0,69.36,598940000,219930000,379010000
24702,"2020-01-01",อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,122631.0,949.0,61478.0,121682.0,60.58,251230000,2080000.0,249150000
24703,"2020-01-01",อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,83459.0,313.0,35301.0,83146.0,49.78,139770000,1080000.0,138690000
24704,"2020-01-01",สุโขทัย,Sukhothai ,ภาคเหนือ,north,140701.0,40138.0,80615.0,100563.0,66.86,322830000,129890000,192940000
24705,"2020-01-01",น่าน,Nan ,ภาคเหนือ,north,115357.0,2180.0,96325.0,113177.0,82.98,340880000,10780000,330100000
24706,"2020-01-01",กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,56432.0,471.0,20430.0,55961.0,50.42,84660000,990000.0,83670000
24707,"2020-01-01",ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,521419.0,7610.0,205657.0,513809.0,57.25,1653690000,25990000,1627700000
24708,"2020-01-01",ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,130777.0,706.0,70023.0,130071.0,61.26,178310000,1850000.0,176460000
24709,"2020-01-01",นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,101079.0,7122.0,45236.0,93957.0,63.13,211070000,9550000.0,201520000
24710,"2020-01-01",นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,985403.0,20265.0,498547.0,965138.0,73.36,2479920000,93850000,2386070000
24711,"2020-01-01",บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,159289.0,4807.0,94359.0,154482.0,65.4,338490000,6950000.0,331540000
24712,"2020-01-01",มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,62442.0,1577.0,37569.0,60865.0,54.73,100770000,1990000.0,98780000
24713,"2020-01-01",มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,194247.0,13116.0,63536.0,181131.0,61.12,350120000,29330000,320790000
24714,"2020-01-01",ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,84003.0,777.0,42487.0,83226.0,58.69,112930000,1640000.0,111290000
24715,"2020-01-01",เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,198483.0,2541.0,122692.0,195942.0,72.31,448010000,9260000.0,438750000
24716,"2020-01-01",ศรีสะเกษ,Sisaket ,ภาคใต้,south,183945.0,2430.0,43025.0,181515.0,65.69,276730000,6150000.0,270580000
24717,"2020-01-01",สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,121634.0,3199.0,89530.0,118435.0,58.12,310630000,10110000,300520000
24718,"2020-01-01",หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,261226.0,71684.0,119040.0,189542.0,70.08,560550000,98890000,461660000
24719,"2020-01-01",บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,66078.0,277.0,37457.0,65801.0,72.86,138080000,650000.0,137430000
24720,"2020-01-01",อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,285057.0,16932.0,181587.0,268125.0,83.19,790750000,80870000,709880000
24721,"2020-01-01",อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,289283.0,17032.0,135215.0,272251.0,71.5,926600000,79980000,846620000
24722,"2020-01-01",สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,113762.0,394.0,62304.0,113368.0,64.41,233370000,1170000.0,232200000
24723,"2020-01-01",ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,48262.0,1506.0,14569.0,46756.0,50.85,61580000,3200000.0,58380000
24724,"2020-01-01",อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,21009.0,789.0,8260.0,20220.0,58.36,33020000,1730000.0,31290000
24725,"2020-01-01",หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,32414.0,142.0,12416.0,32272.0,53.36,34230000,200000.0,34030000
24726,"2021-01-01",กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,1681847.0,49154.0,354676.0,1632693.0,7.54,9539730000,1092280000,8447450000
24727,"2021-01-01",ลพบุรี,Lopburi ,ภาคกลาง,central,69397.0,67.0,19467.0,69330.0,20.48,86930000,80000.0,86850000
24728,"2021-01-01",พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,224085.0,269.0,30074.0,223816.0,18.16,376740000,620000.0,376120000
24729,"2021-01-01",สระบุรี,Saraburi ,ภาคกลาง,central,95027.0,23.0,29441.0,95004.0,19.05,147910000,30000.0,147880000
24730,"2021-01-01",ชัยนาท,Chainat ,ภาคกลาง,central,31718.0,0.0,6508.0,31718.0,16.13,40530000,0.0,40530000
24731,"2021-01-01",นครปฐม,Nakhon Pathom ,ภาคกลาง,central,86717.0,35.0,27769.0,86682.0,16.53,116740000,100000.0,116640000
24732,"2021-01-01",สิงห์บุรี,Sing Buri ,ภาคกลาง,central,16311.0,0.0,2765.0,16311.0,11.82,21920000,0.0,21920000
24733,"2021-01-01",อ่างทอง,Ang Thong ,ภาคกลาง,central,26723.0,0.0,1516.0,26723.0,5.38,26380000,0.0,26380000
24734,"2021-01-01",นนทบุรี,Nonthaburi ,ภาคกลาง,central,67342.0,0.0,8450.0,67342.0,5.83,77120000,0.0,77120000
24735,"2021-01-01",ปทุมธานี,Pathum Thani ,ภาคกลาง,central,51042.0,0.0,8146.0,51042.0,7.81,65140000,0.0,65140000
24736,"2021-01-01",สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,38836.0,82.0,9972.0,38754.0,5.52,55670000,100000.0,55570000
24737,"2021-01-01",สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24738,"2021-01-01",ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,49532.0,0.0,3743.0,49532.0,4.82,59240000,0.0,59240000
